	TCGA-H6-A45N-11A-12R-A26U-07	TCGA-H6-8124-11A-01R-2404-07	TCGA-YB-A89D-11A-11R-A36G-07	TCGA-HV-A5A3-11A-11R-A26U-07
MT-CO1	30205.1884	33691.4454	27975.3538	32003.191
MT-CO3	25609.8538	27839.1217	24743.8035	31965.7504
MT-CO2	22429.3628	23754.7123	19376.2795	20353.0983
MT-ND4	24011.6413	26768.9793	23124.4738	26506.7425
MT-ND3	15323.7486	18367.2006	18037.0482	12955.7853
MT-ATP6	15248.1873	19116.5689	14638.6638	13966.4385
MT-CYB	14375.333	16790.7342	14521.3598	15516.4364
FTL	11041.7815	16636.3771	30728.1023	11894.6732
MT-ND1	15872.6004	13842.0031	13097.3802	15761.1757
MT-ND2	12021.458	13670.8035	10938.6749	12212.4917
TMSB10	5793.93	7770.628	12779.8839	9908.3799
PRSS2	0.0739	5878.1892	474.9588	10270.1189
S100A6	418.0319	2024.6982	5577.5408	2655.3986
PNLIP	0.1208	607.3561	20.4405	3877.7
MT-ND6	11460.6562	13585.0776	10239.6031	2650.6875
MT-ND4L	8501.3862	7171.3332	7465.9321	4097.6219
PRSS1	0.9418	1451.3029	147.2317	4356.8587
MT-ND5	9069.3119	8185.1523	7334.1299	2436.3241
ACTB	4974.5619	4115.3906	6568.1138	6209.7564
RPS12	7037.8302	3546.0768	3220.5358	3628.6595
ACTG1	3098.7905	3607.771	5331.2905	6080.8584
S100A11	487.3111	2676.8193	3980.6164	3409.6217
CPA1	1.4422	1034.0417	84.3106	4991.2961
REG1A	0.0542	4529.2912	553.2505	13473.8481
MT-ATP8	5337.3664	5152.4669	4948.5553	1249.2589
TMSB4X	6782.3904	4114.8255	5033.9671	4397.718
COL1A1	74.0052	3946.3036	6278.1207	3734.9039
COL3A1	199.8813	4765.819	5278.3358	3105.7175
TFF1	0	12.5646	592.1249	5.075
CLPS	0.1547	159.4785	29.1044	1917.621
RPS11	3869.6839	2027.2056	2609.3098	2316.6264
SST	0.1532	742.6826	185.9682	449.1969
KRT19	1.3933	456.081	1452.1879	870.8186
RPL8	2404.9068	1400.2701	2103.478	1660.096
HLA-DRA	7872.3786	5928.6332	3569.664	3901.8561
SPARC	317.1657	3346.7677	3697.157	1987.3234
RPS27	4279.1578	1747.4864	1656.8155	1375.0814
PLA2G1B	0.149	543.2952	63.6687	3548.8928
TTR	0.2137	1141.3761	82.1296	209.9883
RPS18	3127.6458	1497.738	1731.1627	1480.2199
TIMP1	175.1795	1730.5347	3288.7366	2134.2878
OLFM4	0.3271	3011.5695	303.2402	4964.1923
HLA-B	4757.1934	2287.4255	1918.6035	2321.3698
B2M	3649.0777	2370.3747	1767.7784	2199.6148
PPY	0.0935	38.6707	917.3431	35.3833
S100P	14.2153	3.0665	730.9452	1.4137
LCN2	3.3211	1128.2165	794.0707	611.5551
COL1A2	91.0746	2286.1184	3226.6537	1764.8798
PSAP	1966.6776	3770.3104	3333.8294	2701.1357
S100A10	145.4604	923.4661	1514.3206	906.569
EEF2	2422.3874	1677.4781	1854.135	2059.9556
INS	0	1818.6392	621.235	533.5114
CPB1	1.9567	716.7568	52.8185	2715.442
BGN	579.8058	2478.0215	3198.7457	2787.3155
RPS6	2860.3928	1452.0362	1437.9286	1797.602
CD74	5999.9515	3213.6692	2246.023	3378.054
GAPDH	660.9555	878.1798	1344.6579	991.9901
RPL13A	2662.7096	1286.8971	1459.0513	1614.8177
SPINK1	0.0683	1106.9122	492.2161	3014.2707
HLA-C	2764.7145	1913.6306	1231.0353	1352.4014
IFITM3	1033.8161	1204.8155	1630.1417	2069.3328
HLA-A	2525.9439	1351.8411	1488.0654	1591.0811
CTRB2	0.5624	1105.2624	354.9772	7195.9172
LYZ	551.1541	726.662	1071.427	287.106
LUM	15.7365	2744.933	2680.853	969.4104
RPL3	2125.7398	1264.1037	1255.5186	1643.4719
RPLP2	2739.7059	1032.6567	1605.6844	1163.9534
RPL7A	1983.0343	1243.9162	1256.6149	1388.1761
GCG	0.0391	1319.3448	107.4837	385.5965
TAGLN2	660.7265	1165.3843	1038.5711	1736.2095
CEL	0.7405	453.8361	88.1991	2016.8178
CEACAM6	0.3146	40.3986	1129.4139	23.4543
EEF1A1	2367.3019	1560.855	1205.6457	1560.7318
HLA-DRB1	3333.0237	2426.7783	1348.2802	1759.0785
REG3A	0.0589	1640.0789	167.7342	1232.5989
RPS4X	2147.4109	1406.3267	901.2889	1114.6613
SFRP2	1.817	2411.1555	2943.039	738.398
IGFBP4	279.0596	830.1599	2249.9821	614.5455
HSPB1	207.0112	1186.2301	2047.3312	2209.8342
CD63	381.6424	1229.6833	1529.5284	1404.4343
CTRB1	0.3388	838.5608	225.9913	4502.6996
RPLP1	1703.9907	891.6375	1372.7723	1036.0281
SERPINA1	75.4064	1724.3369	515.7416	1987.0347
TFF2	0	8.0999	97.5739	2.2623
MMP7	0.6012	4650.1868	1135.6065	4318.1468
HSP90AB1	854.1198	996.0538	845.511	1057.025
LGALS1	266.1638	1671.7018	2786.1111	1715.153
CPA2	0.1556	821.5597	151.1735	3015.2307
RPS21	1811.6335	626.1422	999.2264	631.8595
IFI6	357.3887	396.3195	709.0545	502.7428
RPL10A	1662.8748	1017.055	973.3513	1117.5933
RPS2	1540.9058	819.9852	1018.7213	1069.2029
SLPI	7.1772	456.6644	284.9538	312.9516
RPLP0	955.9635	798.1987	866.6779	1097.5842
SPP1	28.3262	4748.0489	2428.2921	3577.6127
GSTP1	302.7503	742.3137	942.7836	957.9036
IGFBP7	336.7457	1663.015	1454.2718	1307.1041
RPS8	1562.1342	868.3716	926.467	1002.1158
TXNIP	3152.9205	820.2297	699.4758	448.5292
RPS25	1710.1162	810.2794	875.6744	790.1527
HLA-E	2746.7888	1059.2837	861.1337	1049.1521
RPL13	1249.808	532.3222	863.2858	794.7139
SLC25A6	1240.9876	1125.9737	1261.5643	1235.0029
RPL19	1559.9358	726.3304	898.9622	800.2719
PPDPF	377.1773	448.8574	923.7959	509.8153
SYCN	0	106.7209	9.8871	449.2414
KRT8	10.1763	674.9643	532.9303	1143.9845
CLIC1	447.9118	578.5404	825.6132	729.5296
RPL11	1685.4622	834.4272	877.3122	850.2702
MT2A	198.5994	675.9652	1876.5935	644.6252
MYL12B	392.3524	912.9112	766.5631	1100.1439
RPS16	1323.7586	531.6954	890.0628	675.367
RPL35	1045.9905	569.2311	854.6006	800.1497
S100A4	273.0772	297.9683	769.7084	303.6235
TFF3	24.1237	17.065	176.8653	12.0427
PRDX5	341.0418	696.5092	792.5989	861.337
RPL12	1199.0741	537.8632	652.049	784.0547
GP2	0.1149	377.6282	16.2372	743.4776
CALR	419.7306	901.666	977.8414	853.7088
FN1	27.3801	1164.374	1542.7138	717.1605
CTSE	0.2872	135.8866	309.7325	149.7305
RPL27	1241.2515	660.377	791.5163	662.6793
AGR2	0.1009	13.1057	162.4047	16.5316
LGALS4	5.8903	133.1962	437.546	102.1497
RPS19	1151.9046	454.0604	751.5698	639.5821
SH3BGRL3	611.9833	555.8412	1376.0706	695.5812
KRT18	20.5739	472.054	410.2969	1015.8221
RPL36AL	935.0072	707.2153	755.7003	540.0121
LGALS3BP	192.913	518.2414	600.8847	593.4113
CEACAM5	0.0933	0.7972	695.9524	0.6682
SPINK4	0.8571	0.355	2.7077	0
PFN1	1078.5646	883.9849	1157.347	1122.4902
RPL29	956.5525	563.8899	779.5521	669.9813
LAPTM4A	298.8848	1055.3607	899.5654	892.2226
RPL10	1110.7077	644.236	756.025	746.8302
KRT17	8.7219	254.2352	1369.0957	496.9928
TPT1	698.053	636.1946	730.4903	663.9191
RPL4	1016.6754	685.5492	626.5669	716.8432
RPL5	1056.4538	691.9684	593.1491	720.6748
HSP90AA1	289.5205	562.2425	482.9351	466.0865
GPX1	416.0653	879.5475	1104.6449	845.3893
RNASE1	270.217	500.7056	510.7655	561.7086
REG4	0.0272	1.6923	48.5345	2.0966
CCN2	603.8497	1769.6599	1465.4736	394.1514
GPX2	1.1166	158.4827	428.5845	203.1064
ATP5F1B	510.4573	706.3212	573.703	638.657
EZR	451.9884	391.593	503.6085	346.3724
TACSTD2	2.9124	729.3456	440.1616	1182.1449
RPL7	886.108	555.2054	591.4193	570.1893
NDUFS5	280.3328	713.4211	720.9041	625.5943
LGALS3	63.2631	368.475	625.5305	367.2126
UBC	389.7637	560.3517	540.1355	445.6388
RPL32	1037.4813	477.1232	567.1689	543.3053
IGFBP5	67.2917	2065.6651	849.7848	827.5405
ENO1	380.578	658.8486	719.5155	808.2245
EDF1	492.8867	514.3847	685.6304	645.7501
RPL36	825.7879	394.3164	653.5837	404.9369
PGC	0.1378	56.7466	1.2053	0.3288
CTRC	0.801	292.9657	58.3957	1511.2169
RPL41	921.6925	488.4695	588.7605	490.9687
S100A16	74.3497	192.3413	473.984	245.9723
AEBP1	138.8796	896.8583	1414.3621	470.299
PTMA	498.6514	645.2509	623.0503	709.4394
C3	31.3074	1352.7588	650.9401	1858.8472
RPS3	975.6276	418.2111	510.8585	469.3088
HSPA5	209.6761	586.5779	560.1542	481.6151
CD24	106.3578	894.6716	304.6503	1247.2719
REG1B	0.0389	690.2401	129.3283	2848.6978
TM4SF4	0.1216	308.0132	454.863	106.1323
MMP14	40.7804	945.5036	1016.0486	967.9959
RPL18	880.3475	352.2894	524.5905	516.602
RPS9	754.9529	532.5545	694.5611	643.952
SAT1	617.4011	923.2	934.9419	1647.8803
RPL24	658.3659	452.833	509.8789	533.3989
SDC4	57.1545	683.5562	479.1483	1528.4055
ZFP36	278.6458	260.2741	1799.3417	159.3844
COL6A2	213.7032	544.767	1361.0576	623.8997
MYH9	644.9404	832.9104	939.5446	1089.1597
MMP11	4.6956	766.1161	1035.5135	764.1219
NDUFA1	400.24	525.3154	593.7506	436.5144
PKM	209.9827	340.077	603.0734	353.4594
TM4SF1	89.2401	358.6434	397.6866	650.6253
HSPA8	526.7486	454.8266	459.0202	527.2913
TXN	164.0706	359.9703	450.5507	359.8681
RACK1	773.3381	506.9996	496.0195	613.3233
ATP1B1	29.5042	454.2446	256.7072	350.0903
CELA2A	0.3673	29.6666	0.6249	95.1752
ARF1	328.773	435.3367	504.0688	480.8384
RPS13	859.3492	484.152	470.2864	487.9304
LY6E	297.8697	145.8797	368.3625	265.971
TPI1	248.529	361.6849	546.3466	413.778
DAD1	259.1793	512.979	548.4373	534.0521
GRN	472.796	703.5803	1239.3419	661.4023
ANXA5	183.8216	832.2576	663.2788	685.2203
